ymd,hotel_id,advertiser_id,n_clickouts,n_bookings
20230801,1,1,5,0
20230801,1,5,159,5
20230801,1,14,1,0
20230801,1,37,2,0
20230801,1,39,1,0
20230801,1,41,1,0
20230801,2,5,39,0
20230801,3,5,34,2
20230801,3,37,3,0
20230801,3,39,3,0
20230801,4,1,4,0
20230801,4,5,63,1
20230801,4,14,1,0
20230801,5,1,1,0
20230801,5,5,79,2
20230801,5,24,1,0
20230801,5,37,1,0
20230801,5,39,10,2
20230801,5,41,1,0
20230801,6,5,17,0
20230801,6,37,1,0
20230801,6,39,1,0
20230801,7,1,54,1
20230801,7,8,2,0
20230801,7,19,1,0
20230801,7,24,3,0
20230801,7,36,4,0
20230801,7,37,17,0
20230801,8,1,17,0
20230801,8,17,2,0
20230801,8,24,1,0
20230801,8,37,11,0
20230801,9,1,11,0
20230801,9,8,1,0
20230801,9,14,1,0
20230801,9,37,10,0
20230801,10,5,15,1
20230801,10,24,1,0
20230801,10,37,5,1
20230801,11,5,19,0
20230801,11,17,1,0
20230801,11,24,1,0
20230801,11,37,1,0
20230801,11,39,2,1
20230801,12,5,20,1
20230801,12,8,1,0
20230801,12,17,3,0
20230801,12,24,2,0
20230801,12,37,3,0
20230801,12,41,1,0
20230801,13,1,1,0
20230801,13,5,2,0
20230801,13,24,1,0
20230801,13,41,2,0
20230801,14,5,22,1
20230801,14,14,1,0
20230801,14,37,1,0
20230801,14,39,5,0
20230801,15,5,10,1
20230801,15,8,1,0
20230801,15,24,4,0
20230801,15,37,13,0
20230801,15,39,1,0
20230801,16,3,1,0
20230801,16,5,3,0
20230801,16,37,1,0
20230801,16,39,1,0
20230801,17,1,23,4
20230801,17,5,2,0
20230801,17,24,6,1
20230801,17,37,15,0
20230801,17,38,5,1
20230801,17,39,1,0
20230801,18,5,28,0
20230801,18,37,5,2
20230801,19,1,2,0
20230801,19,5,1,0
20230801,19,21,2,0
20230801,19,24,1,0
20230801,19,37,26,0
20230801,19,39,2,0
20230801,20,5,27,1
20230801,20,14,1,0
20230801,20,24,9,0
20230801,20,37,5,0
20230801,20,39,2,0
20230801,21,3,8,0
20230801,21,5,253,3
20230801,21,17,7,0
20230801,21,21,2,0
20230801,21,24,8,0
20230801,21,29,1,0
20230801,21,31,1,0
20230801,21,37,50,1
20230801,21,38,2,0
20230801,21,39,7,0
20230801,21,41,4,0
20230801,22,3,1,0
20230801,22,5,205,4
20230801,22,17,4,0
20230801,22,19,3,0
20230801,22,24,6,0
20230801,22,37,18,1
20230801,22,39,8,0
20230801,22,41,2,0
20230801,23,3,3,0
20230801,23,5,84,1
20230801,23,8,1,0
20230801,23,15,1,0
20230801,23,19,6,0
20230801,23,36,8,0
20230801,23,37,13,0
20230801,23,39,4,0
20230801,23,41,3,0
20230801,24,3,9,1
20230801,24,5,155,1
20230801,24,8,2,0
20230801,24,14,1,0
20230801,24,17,1,0
20230801,24,19,2,0
20230801,24,24,10,0
20230801,24,31,4,0
20230801,24,34,1,0
20230801,24,36,22,0
20230801,24,37,5,0
20230801,24,39,6,0
20230801,25,5,25,0
20230801,25,24,4,0
20230801,25,37,5,0
20230801,25,39,1,0
20230801,26,1,8,0
20230801,26,3,2,0
20230801,26,5,496,17
20230801,26,17,9,0
20230801,26,24,31,2
20230801,26,31,3,0
20230801,26,37,20,0
